street_name,chars
כפר מיעוטים,כ פ ר   מ י ע ו ט י ם
אברהם וילהלם,א ב ר ה ם   ו י ל ה ל ם
ש מכבי החדשה,ש   מ כ ב י   ה ח ד ש ה
שכון ד רח ה,ש כ ו ן   ד   ר ח   ה
קרית עמל,ק ר י ת   ע מ ל
ככר סתר מרדכי,כ כ ר   ס ת ר   מ ר ד כ י
משק הולברון,מ ש ק   ה ו ל ב ר ו ן
ביר מנסור,ב י ר   מ נ ס ו ר
אלסאדה,א ל ס א ד ה
חנש שלום,ח נ ש   ש ל ו ם
ברכיה הנקדן,ב ר כ י ה   ה נ ק ד ן
ש חס קטמון,ש   ח ס   ק ט מ ו ן
האננס,ה א נ נ ס
נוף בראשית,נ ו ף   ב ר א ש י ת
כביש הבטחון,כ ב י ש   ה ב ט ח ו ן
השלכת,ה ש ל כ ת
דותן,ד ו ת ן
הנביא ישעיהו,ה נ ב י א   י ש ע י ה ו
אל חטיב,א ל   ח ט י ב
"נרקיס מ""ר","נ ר ק י ס   מ "" ר"
ריינס ב נסמו,ר י י נ ס   ב   נ ס מ ו
עאבר אל נזאזה,ע א ב ר   א ל   נ ז א ז ה
אוצר הספרים,א ו צ ר   ה ס פ ר י ם
אל-מזארע,א ל - מ ז א ר ע
אל-וועד,א ל - ו ו ע ד
משק הפועלים,מ ש ק   ה פ ו ע ל י ם
מרים אל קובטיה,מ ר י ם   א ל   ק ו ב ט י ה
אל-רחמה,א ל - ר ח מ ה
סמטת הסיירים,ס מ ט ת   ה ס י י ר י ם
סמ הבאר,ס מ   ה ב א ר
יחזקאל אשכנזי,י ח ז ק א ל   א ש כ נ ז י
"סמ החי""ל","ס מ   ה ח י "" ל"
נחל נקרות,נ ח ל   נ ק ר ו ת
רבי חנינא,ר ב י   ח נ י נ א
פרדס אברלה ש,פ ר ד ס   א ב ר ל ה   ש
אל חמאמה,א ל   ח מ א מ ה
הסביונים משעול,ה ס ב י ו נ י ם   מ ש ע ו ל
קרת,ק ר ת
גלפנשטיין,ג ל פ נ ש ט י י ן
יהושע יעקב,י ה ו ש ע   י ע ק ב
שביל השקמה,ש ב י ל   ה ש ק מ ה
אל לימון,א ל   ל י מ ו ן
